Id,Prima etichetta,Pr Prima etichetta,Verita Prima etichetta,Luogo,Orario,Verita Seconda etichetta,Tipo situazione
124,VS,92,VS,E,1647614477,Non sospetto,Situazione Normale
125,VS,79,VS,B,1647614479,Non sospetto,Situazione Normale
126,VS,57,VTC,C,1647614480,Non sospetto,Situazione Normale
127,VCS,74,VCS,B,1647614484,Non sospetto,Situazione Normale
128,VCI,80,VCI,C,1647614487,Sospetto,Situazione Normale
129,VS,56,VTC,D,1647614490,Non sospetto,Situazione Normale
130,VS,58,VTC,C,1647614492,Non sospetto,Situazione Normale
131,VCS,65,VCS,B,1647614495,Non sospetto,Situazione Normale
132,VCS,66,VCS,D,1647614499,Non sospetto,Situazione Normale
133,VS,63,VS,D,1647614501,Non sospetto,Situazione Normale
134,VS,55,VS,E,1647614505,Non sospetto,Situazione Normale
135,VCI,60,VTC,D,1647614506,Sospetto,Situazione Normale
136,VS,60,VTC,C,1647614509,Non sospetto,Situazione Normale
137,VCS,59,VCS,A,1647614511,Non sospetto,Situazione Normale
138,VCI,51,VCS,E,1647614515,Sospetto,Situazione Normale
139,VS,53,VS,C,1647614516,Non sospetto,Situazione Normale
140,VS,64,VCS,C,1647614520,Non sospetto,Situazione Normale
141,VCI,92,VCI,C,1647614523,Sospetto,Situazione Normale
142,VS,82,VS,B,1647614527,Non sospetto,Situazione Normale
143,VS,74,VS,A,1647614528,Non sospetto,Situazione Normale
144,VS,86,VS,B,1647614530,Non sospetto,Situazione Normale
145,VS,95,VS,E,1647614534,Non sospetto,Situazione Normale
146,VS,96,VS,C,1647614536,Non sospetto,Situazione Normale
147,VS,88,VS,D,1647614538,Non sospetto,Situazione Normale
148,VCI,76,VCI,B,1647614539,Sospetto,Situazione Normale
149,VS,81,VS,D,1647614543,Non sospetto,Situazione Normale
150,VS,82,VS,B,1647614547,Non sospetto,Situazione Normale
151,VCS,67,VCS,E,1647614549,Non sospetto,Situazione Normale
152,VCS,88,VCS,E,1647614551,Non sospetto,Situazione Normale
153,VS,56,VS,C,1647614553,Non sospetto,Situazione Normale
154,VCI,80,VCI,C,1647614555,Sospetto,Situazione Normale
155,VS,89,VS,C,1647614557,Non sospetto,Situazione Normale
156,VS,76,VS,C,1647614559,Non sospetto,Situazione Normale
157,VCS,68,VCS,E,1647614562,Non sospetto,Situazione Normale
158,VS,84,VS,C,1647614563,Non sospetto,Situazione Normale
159,VCI,67,VCI,E,1647614567,Sospetto,Situazione Normale
160,VS,68,VS,D,1647614569,Non sospetto,Situazione Normale
161,VS,79,VS,E,1647614572,Non sospetto,Situazione Normale
162,VS,62,VS,D,1647614574,Non sospetto,Situazione Normale
163,VS,51,VCS,A,1647614577,Non sospetto,Situazione Normale
164,VS,87,VS,E,1647614580,Non sospetto,Situazione Normale
165,VS,81,VS,E,1647614584,Non sospetto,Situazione Normale
166,VS,54,VCI,E,1647614587,Non sospetto,Situazione Normale
167,VS,52,VTC,A,1647614591,Non sospetto,Situazione Normale
168,VS,51,VS,B,1647614593,Non sospetto,Situazione Normale
169,VCI,97,VCI,D,1647614595,Sospetto,Situazione Normale
170,VS,59,VCI,A,1647614597,Non sospetto,Situazione Normale
171,VS,50,VS,B,1647614598,Non sospetto,Situazione Normale
172,VS,55,VCS,D,1647614601,Non sospetto,Situazione Normale
173,VS,92,VS,A,1647614605,Non sospetto,Situazione Normale
174,VS,56,VTC,D,1647614606,Non sospetto,Situazione Normale
175,VS,82,VS,A,1647614609,Non sospetto,Situazione Normale
176,VS,63,VS,B,1647614613,Non sospetto,Situazione Normale
177,VS,93,VS,B,1647614617,Non sospetto,Situazione Normale
178,VS,55,VCS,B,1647614619,Non sospetto,Situazione Normale
179,VCI,77,VCI,D,1647614621,Sospetto,Situazione Normale
180,VS,60,VCS,A,1647614623,Non sospetto,Situazione Normale
181,VTC,56,VTC,A,1647614626,Sospetto,Situazione Normale
182,VCI,92,VCI,E,1647614627,Sospetto,Situazione Normale
183,VS,74,VS,E,1647614631,Non sospetto,Situazione Normale
184,VCS,68,VCS,A,1647614633,Non sospetto,Situazione Normale
185,VS,79,VS,D,1647614637,Non sospetto,Situazione Normale
186,VS,81,VS,C,1647614641,Non sospetto,Situazione Normale
187,VS,84,VS,D,1647614644,Non sospetto,Situazione Normale
188,VS,94,VS,E,1647614647,Non sospetto,Situazione Normale
189,VS,75,VS,C,1647614651,Non sospetto,Situazione Normale
190,VS,62,VS,A,1647614653,Non sospetto,Situazione Normale
191,VS,91,VS,A,1647614655,Non sospetto,Situazione Normale
192,VCI,77,VCI,C,1647614658,Sospetto,Situazione Normale
193,VS,66,VS,A,1647614662,Non sospetto,Situazione Normale
194,VCI,68,VCI,A,1647614663,Sospetto,Situazione Normale
195,VS,55,VCS,A,1647614664,Non sospetto,Situazione Normale
196,VS,83,VS,C,1647614665,Non sospetto,Situazione Normale
197,VCI,70,VCI,A,1647614666,Sospetto,Situazione Normale
198,VS,70,VS,A,1647614670,Non sospetto,Situazione Normale
199,VS,62,VTC,D,1647614672,Non sospetto,Situazione Normale
200,VS,67,VS,B,1647614673,Non sospetto,Situazione Normale
201,VS,73,VS,D,1647614674,Sospetto,Obbligo mascherina
202,VCI,98,VCI,B,1647614678,Non sospetto,Obbligo mascherina
203,VCI,96,VCI,E,1647614680,Non sospetto,Obbligo mascherina
204,VCI,93,VCI,A,1647614683,Non sospetto,Obbligo mascherina
205,VCI,80,VCI,C,1647614687,Non sospetto,Obbligo mascherina
206,VS,97,VS,C,1647614690,Sospetto,Obbligo mascherina
207,VCI,91,VCI,A,1647614693,Non sospetto,Obbligo mascherina
208,VS,83,VS,E,1647614695,Sospetto,Obbligo mascherina
209,VCI,75,VCI,D,1647614698,Non sospetto,Obbligo mascherina
210,VCS,82,VCS,B,1647614700,Sospetto,Obbligo mascherina
211,VCI,84,VCI,A,1647614703,Non sospetto,Obbligo mascherina
212,VCI,75,VCI,E,1647614705,Non sospetto,Obbligo mascherina
213,VCI,66,VCI,E,1647614708,Non sospetto,Obbligo mascherina
214,VCI,74,VCI,A,1647614711,Non sospetto,Obbligo mascherina
215,VCI,97,VCI,A,1647614715,Non sospetto,Obbligo mascherina
216,VCI,85,VCI,D,1647614716,Non sospetto,Obbligo mascherina
217,VCI,95,VCI,B,1647614719,Non sospetto,Obbligo mascherina
218,VS,92,VS,D,1647614722,Sospetto,Obbligo mascherina
219,VCI,69,VCI,C,1647614725,Non sospetto,Obbligo mascherina
220,VCI,55,VS,C,1647614729,Non sospetto,Obbligo mascherina
221,VCI,67,VCI,D,1647614730,Non sospetto,Obbligo mascherina
222,VCI,93,VCI,A,1647614733,Non sospetto,Obbligo mascherina
223,VCI,56,VCS,E,1647614736,Non sospetto,Obbligo mascherina
224,VCI,59,VTC,C,1647614739,Non sospetto,Obbligo mascherina
225,VCI,58,VCI,A,1647614740,Non sospetto,Obbligo mascherina
226,VCI,73,VCI,C,1647614744,Non sospetto,Obbligo mascherina
227,VCI,94,VCI,C,1647614747,Non sospetto,Obbligo mascherina
228,VTC,53,VS,D,1647614748,Sospetto,Obbligo mascherina
229,VCI,63,VCS,E,1647614749,Non sospetto,Obbligo mascherina
230,VCI,87,VCI,C,1647614752,Non sospetto,Obbligo mascherina
231,VCI,89,VCI,B,1647614753,Non sospetto,Obbligo mascherina
232,VCI,85,VCI,B,1647614754,Non sospetto,Obbligo mascherina
233,VCI,88,VCI,A,1647614756,Non sospetto,Obbligo mascherina
234,VCS,93,VCS,D,1647614759,Sospetto,Obbligo mascherina
235,VCI,87,VCI,B,1647614762,Non sospetto,Obbligo mascherina
236,VCI,53,VS,A,1647614766,Non sospetto,Obbligo mascherina
237,VCI,83,VCI,B,1647614770,Non sospetto,Obbligo mascherina
238,VCI,51,VCI,A,1647614772,Non sospetto,Obbligo mascherina
239,VCI,96,VCI,B,1647614774,Non sospetto,Obbligo mascherina
240,VCI,87,VCI,C,1647614775,Non sospetto,Obbligo mascherina
241,VCI,57,VCI,D,1647614777,Non sospetto,Obbligo mascherina
242,VCI,90,VCI,A,1647614781,Non sospetto,Obbligo mascherina
243,VCI,94,VCI,A,1647614782,Non sospetto,Obbligo mascherina
244,VCI,58,VS,D,1647614786,Non sospetto,Obbligo mascherina
245,VCI,67,VCI,D,1647614788,Non sospetto,Obbligo mascherina
246,VCI,60,VCS,C,1647614790,Non sospetto,Obbligo mascherina
247,VCI,91,VCI,C,1647614794,Non sospetto,Obbligo mascherina
248,VCI,71,VCI,C,1647614798,Non sospetto,Obbligo mascherina
249,VCI,53,VS,E,1647614800,Non sospetto,Obbligo mascherina
250,VCI,93,VCI,E,1647614802,Non sospetto,Obbligo mascherina
251,VCI,83,VCI,B,1647614804,Non sospetto,Obbligo mascherina
252,VS,96,VS,A,1647614807,Sospetto,Obbligo mascherina
253,VCI,89,VCI,A,1647614810,Non sospetto,Obbligo mascherina
254,VS,87,VS,A,1647614813,Sospetto,Obbligo mascherina
255,VCI,74,VCI,A,1647614815,Non sospetto,Obbligo mascherina
256,VCI,55,VCI,A,1647614819,Non sospetto,Obbligo mascherina
257,VCS,94,VCS,C,1647614820,Sospetto,Obbligo mascherina
258,VCI,69,VCI,B,1647614824,Non sospetto,Obbligo mascherina
259,VCI,55,VS,C,1647614827,Non sospetto,Obbligo mascherina
260,VCI,73,VCI,E,1647614831,Non sospetto,Obbligo mascherina
261,VCI,79,VCI,B,1647614832,Non sospetto,Obbligo mascherina
262,VCI,91,VCI,B,1647614834,Non sospetto,Obbligo mascherina
263,VCI,89,VCI,B,1647614836,Non sospetto,Obbligo mascherina
264,VS,97,VS,D,1647614838,Sospetto,Obbligo mascherina
265,VCI,50,VTC,A,1647614839,Non sospetto,Obbligo mascherina
266,VCI,53,VS,D,1647614842,Non sospetto,Obbligo mascherina
267,VCS,78,VCS,C,1647614843,Sospetto,Obbligo mascherina
268,VCI,97,VCI,D,1647614845,Non sospetto,Obbligo mascherina
269,VCI,59,VCS,C,1647614847,Non sospetto,Obbligo mascherina
270,VCI,81,VCI,D,1647614851,Non sospetto,Obbligo mascherina
271,VCI,75,VCI,B,1647614854,Non sospetto,Obbligo mascherina
272,VS,84,VS,E,1647614856,Sospetto,Obbligo mascherina
273,VCI,54,VCI,B,1647614858,Non sospetto,Obbligo mascherina
274,VCI,77,VCI,B,1647614860,Non sospetto,Obbligo mascherina
275,VCI,50,VCS,E,1647614862,Non sospetto,Obbligo mascherina
276,VCI,57,VCS,A,1647614863,Non sospetto,Obbligo mascherina
277,VTC,52,VCS,B,1647614865,Sospetto,Obbligo mascherina
278,VCI,74,VCI,B,1647614867,Non sospetto,Obbligo mascherina
279,VCI,58,VS,C,1647614870,Non sospetto,Obbligo mascherina
280,VCS,52,VCS,A,1647614872,Sospetto,Obbligo mascherina
281,VCI,90,VCI,C,1647614875,Non sospetto,Obbligo mascherina
282,VCI,66,VCI,A,1647614878,Non sospetto,Obbligo mascherina
283,VCI,88,VCI,A,1647614880,Non sospetto,Obbligo mascherina
284,VCI,66,VCI,B,1647614883,Non sospetto,Obbligo mascherina
285,VCI,90,VCI,E,1647614885,Non sospetto,Obbligo mascherina
286,VCI,61,VCS,C,1647614889,Non sospetto,Obbligo mascherina
287,VCI,84,VCI,C,1647614892,Non sospetto,Obbligo mascherina
288,VCI,92,VCI,B,1647614896,Non sospetto,Obbligo mascherina
289,VCI,55,VS,C,1647614900,Non sospetto,Obbligo mascherina
290,VCI,54,VCI,A,1647614902,Non sospetto,Obbligo mascherina
291,VCI,52,VCS,B,1647614903,Non sospetto,Obbligo mascherina
292,VCI,85,VCI,E,1647614907,Non sospetto,Obbligo mascherina
293,VCI,96,VCI,A,1647614911,Non sospetto,Obbligo mascherina
294,VCI,74,VCI,D,1647614912,Non sospetto,Obbligo mascherina
295,VCI,82,VCI,B,1647614916,Non sospetto,Obbligo mascherina
296,VCI,95,VCI,C,1647614917,Non sospetto,Obbligo mascherina
297,VCI,54,VCI,D,1647614921,Non sospetto,Obbligo mascherina
298,VCI,61,VCI,E,1647614925,Non sospetto,Obbligo mascherina
299,VCI,97,VCI,A,1647614929,Non sospetto,Obbligo mascherina
300,VCI,80,VCI,D,1647614930,Non sospetto,Obbligo mascherina
301,VCI,63,VTC,D,1647614931,Non sospetto,Obbligo mascherina
302,VCI,84,VCI,B,1647614932,Non sospetto,Obbligo mascherina
303,VCI,86,VCI,B,1647614935,Non sospetto,Obbligo mascherina
304,VCI,97,VCI,C,1647614937,Non sospetto,Obbligo mascherina
305,VCI,70,VCI,E,1647614940,Non sospetto,Obbligo mascherina
306,VCI,70,VCI,B,1647614941,Non sospetto,Obbligo mascherina
307,VCI,80,VCI,B,1647614942,Non sospetto,Obbligo mascherina
308,VCI,64,VTC,E,1647614944,Non sospetto,Obbligo mascherina
309,VCI,62,VTC,C,1647614948,Non sospetto,Obbligo mascherina
310,VCI,81,VCI,B,1647614951,Non sospetto,Obbligo mascherina
311,VCI,86,VCI,E,1647614952,Non sospetto,Obbligo mascherina
312,VS,77,VS,C,1647614954,Sospetto,Obbligo mascherina
313,VCI,86,VCI,B,1647614956,Non sospetto,Obbligo mascherina
314,VCI,74,VCI,D,1647614957,Non sospetto,Obbligo mascherina
315,VCI,97,VCI,E,1647614960,Non sospetto,Obbligo mascherina
316,VS,92,VS,E,1647614963,Sospetto,Obbligo mascherina
317,VS,85,VS,C,1647614967,Sospetto,Obbligo mascherina
318,VCI,62,VTC,C,1647614969,Non sospetto,Obbligo mascherina
319,VS,75,VS,C,1647614972,Sospetto,Obbligo mascherina
320,VCI,94,VCI,E,1647614974,Non sospetto,Obbligo mascherina
321,VCI,56,VCI,C,1647614976,Non sospetto,Obbligo mascherina
322,VCI,63,VCS,A,1647614978,Non sospetto,Obbligo mascherina
323,VCS,89,VCS,C,1647614980,Sospetto,Obbligo mascherina
324,VCI,91,VCI,E,1647614984,Non sospetto,Obbligo mascherina
325,VCI,91,VCI,C,1647614986,Non sospetto,Obbligo mascherina
326,VCI,69,VCI,B,1647614989,Non sospetto,Obbligo mascherina
327,VCI,91,VCI,B,1647614991,Non sospetto,Obbligo mascherina
328,VCI,92,VCI,B,1647614994,Non sospetto,Obbligo mascherina
329,VCI,71,VCI,A,1647614998,Non sospetto,Obbligo mascherina
330,VCI,71,VCI,A,1647615000,Non sospetto,Obbligo mascherina
331,VS,91,VS,B,1647615002,Sospetto,Obbligo mascherina
332,VCI,77,VCI,B,1647615003,Non sospetto,Obbligo mascherina
333,VCI,62,VS,C,1647615006,Non sospetto,Obbligo mascherina
334,VCI,82,VCI,C,1647615010,Non sospetto,Obbligo mascherina
335,VCI,82,VCI,D,1647615011,Non sospetto,Obbligo mascherina
336,VCI,72,VCI,B,1647615012,Non sospetto,Obbligo mascherina
337,VCI,91,VCI,C,1647615016,Non sospetto,Obbligo mascherina
338,VCI,63,VCI,A,1647615019,Non sospetto,Obbligo mascherina
339,VCS,66,VCS,E,1647615022,Sospetto,Obbligo mascherina
340,VCI,72,VCI,B,1647615025,Non sospetto,Obbligo mascherina
341,VCI,64,VTC,A,1647615028,Non sospetto,Obbligo mascherina
342,VCI,60,VTC,A,1647615029,Non sospetto,Obbligo mascherina
343,VCI,72,VCI,D,1647615031,Non sospetto,Obbligo mascherina
344,VCI,92,VCI,C,1647615032,Non sospetto,Obbligo mascherina
345,VCI,59,VCI,A,1647615036,Non sospetto,Obbligo mascherina
346,VCI,66,VCI,D,1647615038,Non sospetto,Obbligo mascherina
347,VCI,83,VCI,D,1647615039,Non sospetto,Obbligo mascherina
348,VCI,78,VCI,A,1647615041,Non sospetto,Obbligo mascherina
349,VCI,68,VCI,C,1647615044,Non sospetto,Obbligo mascherina
350,VCI,69,VCI,A,1647615048,Non sospetto,Obbligo mascherina
351,VCI,81,VCI,D,1647615049,Non sospetto,Obbligo mascherina
352,VCI,65,VCI,D,1647615052,Non sospetto,Obbligo mascherina
353,VS,94,VS,C,1647615053,Sospetto,Obbligo mascherina
354,VCI,56,VS,C,1647615056,Non sospetto,Obbligo mascherina
355,VCI,80,VCI,A,1647615060,Non sospetto,Obbligo mascherina
356,VCI,87,VCI,D,1647615063,Non sospetto,Obbligo mascherina
357,VCI,93,VCI,A,1647615065,Non sospetto,Obbligo mascherina
358,VCI,54,VS,C,1647615068,Non sospetto,Obbligo mascherina
359,VCI,67,VCI,D,1647615070,Non sospetto,Obbligo mascherina
360,VCI,68,VCI,B,1647615072,Non sospetto,Obbligo mascherina
361,VCI,61,VCI,D,1647615074,Non sospetto,Obbligo mascherina
362,VCI,50,VCS,B,1647615075,Non sospetto,Obbligo mascherina
363,VCS,68,VCS,B,1647615076,Sospetto,Obbligo mascherina
364,VCI,87,VCI,D,1647615079,Non sospetto,Obbligo mascherina
365,VCI,76,VCI,D,1647615083,Non sospetto,Obbligo mascherina
366,VCI,77,VCI,C,1647615084,Non sospetto,Obbligo mascherina
367,VCI,83,VCI,B,1647615085,Non sospetto,Obbligo mascherina
368,VCI,83,VCI,D,1647615088,Non sospetto,Obbligo mascherina
369,VCI,89,VCI,C,1647615092,Non sospetto,Obbligo mascherina
370,VCI,77,VCI,E,1647615093,Non sospetto,Obbligo mascherina
371,VCI,94,VCI,B,1647615094,Non sospetto,Obbligo mascherina
372,VCS,75,VCS,C,1647615096,Sospetto,Obbligo mascherina
373,VCI,56,VCS,B,1647615099,Non sospetto,Obbligo mascherina
374,VCS,93,VCS,A,1647615101,Sospetto,Obbligo mascherina
375,VCI,78,VCI,B,1647615102,Non sospetto,Obbligo mascherina
376,VCI,84,VCI,B,1647615104,Non sospetto,Obbligo mascherina
377,VCI,72,VCI,D,1647615105,Non sospetto,Obbligo mascherina
378,VCI,80,VCI,B,1647615109,Non sospetto,Obbligo mascherina
379,VCI,81,VCI,A,1647615112,Non sospetto,Obbligo mascherina
380,VCI,74,VCI,B,1647615113,Non sospetto,Obbligo mascherina
381,VCI,60,VCI,B,1647615117,Non sospetto,Obbligo mascherina
382,VCI,74,VCI,E,1647615118,Non sospetto,Obbligo mascherina
383,VS,74,VS,B,1647615119,Sospetto,Obbligo mascherina
384,VCI,85,VCI,B,1647615123,Non sospetto,Obbligo mascherina
385,VCI,77,VCI,C,1647615124,Non sospetto,Obbligo mascherina
386,VS,89,VS,A,1647615126,Sospetto,Obbligo mascherina
387,VCI,98,VCI,B,1647615129,Non sospetto,Obbligo mascherina
388,VCI,66,VCI,B,1647615133,Non sospetto,Obbligo mascherina
389,VCI,51,VTC,D,1647615137,Non sospetto,Obbligo mascherina
390,VS,88,VS,C,1647615141,Sospetto,Obbligo mascherina
391,VCI,69,VCI,D,1647615144,Non sospetto,Obbligo mascherina
392,VCI,68,VCI,C,1647615148,Non sospetto,Obbligo mascherina
393,VCI,78,VCI,C,1647615149,Non sospetto,Obbligo mascherina
394,VCI,82,VCI,E,1647615152,Non sospetto,Obbligo mascherina
395,VCI,78,VCI,A,1647615155,Non sospetto,Obbligo mascherina
396,VCI,93,VCI,B,1647615159,Non sospetto,Obbligo mascherina
397,VCI,86,VCI,A,1647615162,Non sospetto,Obbligo mascherina
398,VCI,51,VCS,C,1647615164,Non sospetto,Obbligo mascherina
399,VCI,86,VCI,C,1647615166,Non sospetto,Obbligo mascherina
400,VCS,54,VTC,B,1647615167,Sospetto,Obbligo mascherina
401,VCS,74,VCS,D,1647615169,Non sospetto,Situazione Normale
402,VS,71,VS,E,1647615173,Non sospetto,Situazione Normale
403,VS,73,VS,B,1647615174,Non sospetto,Situazione Normale
404,VCS,92,VCS,E,1647615176,Non sospetto,Situazione Normale
405,VS,67,VS,E,1647615179,Non sospetto,Situazione Normale
406,VS,88,VS,E,1647615182,Non sospetto,Situazione Normale
407,VCI,57,VTC,D,1647615183,Sospetto,Situazione Normale
