index,A,B,C,V
55,-259.49228697551183,-654.6422199468649,-571.6240968882644,0
56,-1275.1923805888136,-1073.6568075211092,-673.7577121575131,1
57,-259.18591322391853,-654.8799410850586,-570.9655098090088,0
58,-259.21520121619534,-655.0180281700616,-572.3574846367225,0
59,-259.80096417256766,-654.2079077463137,-570.8942033897578,0
60,-259.3720204794871,-654.7902138327402,-571.6126347063438,0
61,-259.7498436130828,-653.8809363925632,-571.2327617567215,0
62,-259.4257223489509,-654.9938734745836,-571.1530681934536,0
63,-259.383089256477,-654.003936460069,-570.9611167231101,0
64,-259.2313014735155,-654.1154153385796,-570.7666050469207,0
65,-1277.6319055850352,-1073.4251947812202,-673.5593080253925,1
66,-259.4954248505434,-654.220213676354,-572.033353844338,0
67,-260.6150438595677,-654.5161713467882,-570.7450844729486,0
68,-259.33718996786865,-654.475501971148,-571.222067174794,0
69,-1277.0684064393054,-1071.2444657608962,-673.9666853541313,1
70,-258.8896911903587,-654.8036720444361,-571.3760184010865,0
71,-259.36644488848793,-654.3064944237146,-571.1927131599373,0
72,-259.39139498881053,-654.1152764178462,-571.3987852693549,0
73,-259.21542241365364,-654.0605707188897,-571.4008521579251,0
74,-259.11979678582935,-653.8081461766204,-571.9217520893313,0
75,-259.12605875898566,-654.6532109808106,-571.4152110727119,0
76,-259.17809433012275,-654.7996776154638,-571.7342553215027,0
77,-259.34618731246155,-654.6679540260561,-571.6168488564335,0
78,-260.0667517238384,-654.1588791436702,-571.438888980054,0
79,-259.35006082224976,-654.4022984964203,-571.771878052987,0
80,-259.55123821821724,-654.7832557160037,-571.1111929035147,0
81,-258.6091213736193,-654.7819412574942,-571.3503627946619,0
82,-259.5119996684518,-654.4316947713933,-570.8946870147851,0
83,-259.78465408180443,-654.3355062502108,-571.6451589626821,0
84,-259.9932344557844,-654.9703631514479,-570.9126378481147,0
85,-259.58098692373204,-654.4918379312195,-571.4490653899352,0
86,-259.48251303671026,-654.2038503117524,-570.4866376441607,0
87,-259.4042189104794,-653.9782312350109,-571.2485985237021,0
88,-259.4543070554696,-654.1261246425533,-572.412686445153,0
89,-478.6145167598038,273.4026676438576,466.54622869856826,1
90,-259.03695783609606,-654.874510269754,-571.6877621908326,0
91,-259.8885321163126,-654.220705181698,-571.3571282471839,0
92,-259.3657757360641,-654.6775712228053,-571.0949592029775,0
93,-258.82978165114696,-654.3648932658266,-571.2002350740603,0
94,-258.888272288341,-654.7145300475358,-570.9785790134688,0
95,-258.8749173146088,-654.0834600745304,-572.091941757019,0
96,-259.4137526146387,-654.3629281218615,-571.1994997842173,0
97,-259.4671484865417,-654.6099080602565,-571.5683275892801,0
98,-258.7446461362231,-654.6218594422913,-571.0699737232735,0
99,-260.09639868983186,-655.1512728588742,-571.4998964517046,0
100,-260.25630173453817,-654.1555815431734,-571.1671334188794,0
101,-258.7147169648921,-654.2757736949911,-571.0160042777076,0
102,-258.9321393414803,-654.0790961040592,-570.6132789755252,0
103,-259.4797796585326,-654.6686549236198,-571.3483180048353,0
104,-259.15385336508115,-653.8357139228389,-571.1841111408359,0
105,-259.7190218636308,-654.362829521505,-571.4113180284069,0
106,-258.84735407750605,-653.6566881337158,-571.4438741366866,0
107,-259.8465112349198,-654.090228119611,-571.194761346852,0
108,-259.8805899051721,-654.1253735840991,-571.1256508614724,0
109,-259.5544297426216,-654.7748376282354,-571.1623654394245,0
110,-1274.7367447187712,-1072.7845869071991,-676.4219560091123,1
111,-259.7035165724826,-653.5248063031585,-570.8056763289273,0
112,-259.22721737344204,-654.1858131720236,-571.1597902172986,0
113,-259.71019400423114,-655.5578427193161,-571.371885717732,0
114,-259.2031062182165,-654.1668163581163,-571.712210937171,0
115,-258.8601783859085,-654.2294921801963,-571.1098890326839,0
116,-258.9644415485988,-654.4840511339354,-571.5497186376591,0
117,-259.47099078276835,-654.2363822083591,-571.2513670700657,0
118,-259.5989791707007,-653.9271850251973,-571.2714392905382,0
119,-259.3538587401983,-655.0071428935817,-570.6231060060584,0
120,-259.0358741192881,-653.9328703613252,-570.6656076129071,0
121,-259.0562162647568,-653.9485755848673,-571.3539141762182,0
122,-259.88676800258634,-654.5799448367208,-571.6759949035941,0
123,-259.73715173631285,-654.3863933853656,-571.8490237015528,0
124,-258.5777909847529,-654.2837224381253,-571.0621454187019,0
125,-259.16943385025013,-654.6382785603641,-571.0789991397064,0
126,-259.21608917214076,-654.3360509551497,-571.3018615067472,0
127,-259.48407183364594,-654.48073352271,-572.0470489025438,0
128,-260.18026487370844,-654.4106738175858,-571.6936455320663,0
129,-260.0336960351416,-654.4972850145164,-571.4862319986004,0
130,-259.6014839247945,-654.9416723653529,-571.2409262396235,0
131,-259.7721349194704,-653.3743443813594,-571.0372117624062,0
132,-259.5124104656741,-654.5849400394465,-571.6155978109572,0
133,-259.55543865553,-654.8101497070696,-570.8146771779736,0
134,-260.2664990046016,-654.2903269212521,-571.8781039900334,0
135,-1273.5167329929072,-1072.3840180218858,-672.8586506346168,1
136,-259.3718372626517,-654.1201057446256,-571.8089563421865,0
137,-259.3899828500728,-654.5218628905309,-571.2277395318586,0
138,-260.07448638415525,-654.4546232254853,-571.0642054251938,0
139,-259.75514341943693,-654.8078219537165,-571.5012832781258,0
140,-258.76684767331534,-654.8192700779567,-571.2160264294579,0
141,-259.4488258992026,-653.8291720805853,-571.8359178941312,0
142,-259.5249766036715,-654.8357331708926,-571.3149099989264,0
143,-258.8627526096743,-654.7405385667029,-571.3223761592479,0
144,-259.40409802858795,-654.2537957227531,-571.4202812716386,0
145,-258.7989880607486,-654.8722627341535,-571.8194937080848,0
146,-259.47379609485193,-654.9917449763991,-571.5227051808955,0
147,-259.30569658105475,-654.6213635453659,-571.0142929825547,0
148,-258.88388145628454,-654.6409356412987,-571.3463356332473,0
149,-259.2496101719915,-654.8422025946181,-571.0431253233772,0
150,-259.33364854316017,-653.9842320679873,-570.6014942725442,0
151,-1274.0251289848252,-1070.408881512666,-672.3003836017166,1
152,-259.46718479872044,-653.9036996529609,-571.50597642737,0
153,-1276.4062050022574,-1071.262822810133,-671.7394276784363,1
154,-258.980871984998,-653.9460360599757,-570.9679743161879,0
155,-259.7289837870306,-654.48799330572,-571.0049879351643,0
156,-259.722183938336,-654.6598678455056,-571.4098984806635,0
157,-259.172249919007,-653.8204541108025,-570.5565615582016,0
158,-478.8359367345213,273.7054985062671,467.21170790169396,1
159,-259.3398045936205,-654.1928834416992,-571.4631128378624,0
160,-259.28470474490086,-654.3663169119785,-571.2225268011895,0
161,-259.87379014196256,-654.5497572067835,-571.5323754051911,0
162,-259.6580256849697,-654.6819871925295,-571.2535030762908,0
163,-259.9906540233034,-654.9163321073765,-571.2870726265967,0
164,-259.7133188339438,-654.0538445854667,-571.772423360649,0
165,-259.8476843209336,-654.1025999534376,-571.6574569481455,0
166,-259.62185435108773,-655.0515987453847,-570.153362850151,0
167,-260.30308655058354,-654.4468054223187,-571.3952896141476,0
168,-259.4178471459994,-654.6826884104102,-570.8836539700741,0
169,-258.4528945171665,-653.7971259445878,-572.1983928271796,0
170,-259.8247204554132,-654.0201833663211,-571.5229870496354,0
171,-259.47340080133716,-654.14099571601,-571.0909326595371,0
172,-259.483702319623,-654.0851453502879,-570.5060830856513,0
173,-1276.0619955464956,-1072.348086516543,-672.3590040288991,1
174,-258.7156783953948,-654.5502093643827,-570.539382226617,0
175,-259.49616323671614,-654.8468898220409,-570.64587251432,0
176,-259.0263697109488,-653.8002541721594,-571.437642114342,0
177,-259.74517409505273,-654.9514319506699,-571.4475357854313,0
178,-259.72624016954296,-654.1619261154675,-571.8774424470379,0
179,-259.14199889973185,-654.8109718133373,-571.3017025540066,0
180,-260.10781876810574,-653.9971042042941,-571.1987214571933,0
181,-259.4845850332673,-653.806330555087,-571.6977552424289,0
182,-259.3914601788966,-654.2548444033607,-571.1706033467842,0
183,-259.8564006111286,-653.8188860743539,-571.4192804176042,0
184,-259.1348055541767,-653.8085295014463,-571.3123704217396,0
185,-258.8449956664857,-654.3754369235547,-571.4594036065827,0
186,-259.46074266563454,-654.4641097013601,-571.480287669896,0
187,-259.0344436764735,-654.5610183658897,-571.1905792631882,0
188,-259.30235177634586,-655.1186677062083,-571.2199945328489,0
189,-258.76340115509635,-653.989522721525,-571.56559214688,0
190,-259.56025404023444,-654.3716883580183,-571.3851271510546,0
191,-478.60213312340176,274.46558710210604,466.9148900741202,1
192,-259.5758187515107,-654.1817995020327,-571.7354692650894,0
193,-258.92578456795854,-654.1248497538553,-571.7930462720049,0
194,-258.67616947741993,-654.5669026934011,-570.7740184230543,0
195,-259.3800562617944,-653.8382329797158,-571.6829546956959,0
196,-259.8050039806323,-654.691659180284,-571.4449817292492,0
197,-259.5293445871501,-653.9408558061283,-570.7794179713901,0
198,-259.31315703449025,-655.1227892327817,-571.7854311620573,0
199,-259.52581452340877,-654.350682273932,-571.6669825195897,0
200,-259.6494675683987,-654.2912317398154,-571.240526357498,0
201,-1273.1507431643715,-1070.6579815936454,-676.7798873636218,1
202,-259.35629278937085,-654.1901923992218,-571.6335107691059,0
203,-259.32440614912366,-653.8062576573263,-571.6204135118268,0
204,-259.02395123642026,-654.9848182991849,-571.5471216237711,0
205,-259.28959267771256,-654.3919499463373,-571.6125926845206,0
206,-259.2495414948141,-653.9047536544067,-571.1286706829914,0
207,-259.52916260352043,-654.123834306276,-571.3022041079878,0
208,-259.4274743341901,-654.1608255198178,-571.6891337583502,0
209,-259.01448114310523,-654.1139059391188,-571.0479804753124,0
210,-259.4925930266016,-654.435672647349,-571.6218932238947,0
211,-259.24955215695195,-654.4029436527838,-571.4822888369282,0
212,-258.6344529235959,-654.5855398307181,-570.7161421828139,0
213,-259.3773620844761,-653.872983770981,-571.6302048886101,0
214,-258.5135218705247,-654.6549708256546,-571.7450607910408,0
215,-479.0959532986428,274.08127038961356,466.98577868618383,1
216,-259.35874354471576,-654.5158267289061,-571.7418055614719,0
217,-258.2952345584397,-654.8945764716357,-571.5450363401166,0
218,-259.89783979986356,-654.3162457836888,-571.2041071995399,0
219,-259.2107907415313,-654.114799469913,-571.1484217519119,0
220,-258.77833865994626,-654.6262527794484,-571.287563003413,0
221,-259.2566009850753,-654.3699169219694,-571.3346959352253,0
222,-259.5980700511344,-654.3555011352142,-571.3376419676923,0
223,-258.670785922404,-654.3787115308858,-571.2413944954924,0
224,-259.18527183445394,-654.9927971161144,-570.9101655819867,0
225,-258.59092516151054,-655.5068740591013,-571.1925602312535,0
226,-259.47112446710514,-654.1496741663127,-571.3830114387579,0
227,-479.0337568511276,273.78999078924113,466.3271772071198,1
228,-258.7973545735092,-654.9826111918424,-570.8719805305569,0
229,-259.817860910188,-654.3856625992181,-571.5786639614989,0
230,-259.23354469254934,-654.966078289302,-570.9888908902846,0
231,-259.3150784818753,-655.263978687833,-571.1218295230499,0
232,-258.70441186628244,-654.4028537467196,-571.4353753538675,0
233,-258.35939358036757,-654.4052452715539,-571.2382434908432,0
234,-259.3304506887394,-654.5920028429447,-571.0507588657675,0
235,-258.98550010264773,-654.7962621623832,-571.7992106221204,0
236,-259.72148238212725,-654.8346275734085,-571.6883787882168,0
237,-260.2214222572303,-654.3719181957962,-571.1835434341606,0
238,-259.9744042591979,-654.466199149793,-570.7885485152152,0
239,-259.8160914174563,-654.4991735485497,-571.0821506180752,0
240,-259.59956296855984,-654.2793537770616,-571.2209554216827,0
241,-259.6715940729144,-654.2507518506567,-571.4338617127061,0
242,-259.1569878683992,-654.4346853670555,-571.446520080867,0
243,-259.9434723665109,-654.3077841279444,-571.959797020775,0
244,-259.50458436407234,-654.2602708213726,-571.1648477368057,0
245,-259.63905059046687,-654.0048400057384,-571.3909979671472,0
246,-259.7454220852115,-654.7959290877353,-571.4121543239017,0
247,-259.5834045699853,-654.4963840077374,-571.0602468349363,0
248,-259.49528011653325,-654.1064668402441,-570.9097760589551,0
249,-259.6055434490796,-654.5689315036832,-570.9461052874072,0
250,-259.5855177916986,-653.7279044224758,-571.1774581975719,0
251,-259.7697900177978,-653.7471534434013,-571.1940518274713,0
252,-259.28362013558404,-654.1719839116373,-570.2510998875335,0
253,-258.8000909690797,-654.5798733895027,-570.7815458610141,0
254,-259.4583081422808,-654.0661241715604,-571.0733567072892,0
255,-259.79362872596437,-654.7520710573581,-570.8548595918235,0
256,-260.01716927657935,-654.4392656700073,-571.4053997085356,0
257,-478.2796132392007,274.6675904826388,467.09490605866745,1
258,-258.9288519036955,-653.9684833393853,-570.9504642055517,0
259,-259.3985849059518,-655.0661260561905,-571.1585561310395,0
260,-258.98090650886286,-654.8001447452739,-571.7038748896214,0
261,-1277.8632902934444,-1070.3720488571182,-671.2025471391692,1
262,-259.6648617984228,-654.4212196291714,-571.4749458015381,0
263,-259.4372718965734,-654.2589504937113,-570.9001506716994,0
264,-259.7223975560114,-654.5538767331084,-570.3661670513821,0
265,-260.1170439040347,-654.7488911984641,-571.7117047381959,0
266,-259.2997056435226,-654.5752752532308,-571.4336361658636,0
267,-259.17599200275293,-654.7668236447121,-571.4260639090043,0
268,-259.4528041398592,-654.0857148134062,-571.0602435613175,0
269,-259.460868684373,-653.858624732678,-571.1617906436662,0
270,-1275.1247508071822,-1070.2117499448775,-673.9086269470171,1
271,-1272.5318709661246,-1070.3862290253737,-674.4456413525272,1
272,-260.0260551575075,-654.7427355379327,-571.2840702193711,0
273,-260.1257633555653,-654.79977491024,-571.474383350105,0
274,-259.68028956748583,-654.90366616519,-572.0206447668537,0
275,-259.6922120700455,-653.8933093450261,-571.2349694705824,0
276,-259.4269914717007,-654.2522163579772,-571.6505610566443,0
277,-259.0887839702882,-654.2160636172937,-571.2706635202591,0
278,-259.3907354221399,-653.9694325020561,-571.8717654951577,0
279,-259.3409992491308,-654.4715928014738,-571.1719199642548,0
280,-258.39964021917757,-654.1067312207248,-571.1558997943283,0
281,-260.03936945964233,-654.6033436683747,-571.3483304781256,0
282,-259.1487066589318,-654.7878007656798,-570.9432444545308,0
283,-259.59207967600423,-654.8046705167825,-569.8094494388756,0
284,-259.729009455813,-654.7099034829367,-571.3406339169153,0
285,-258.80892518475315,-653.9433600318487,-571.0089412398603,0
286,-259.29427600207316,-654.2379374230088,-571.0355841609388,0
287,-258.71111580971683,-654.185066883669,-571.6869611164167,0
288,-259.6935187031052,-654.2183403841887,-570.9460449276615,0
289,-259.9793914437818,-654.2885796795455,-570.9236815457388,0
290,-1275.9084013614993,-1069.8070256130052,-673.898690941981,1
291,-259.8229012988759,-654.5549667824088,-571.4543334106247,0
292,-258.77396613192064,-654.0956082230562,-571.1212920147768,0
293,-258.5998034989165,-654.5053476821406,-571.3654836197452,0
294,-259.3823391799948,-654.175253434928,-570.7641845890397,0
295,-259.4221034067518,-654.5299053460178,-571.1956912304744,0
296,-259.3498032848116,-654.662149717672,-571.4413234428115,0
297,-259.3829800826159,-654.2415366920334,-571.1340497975124,0
298,-259.37185014237167,-654.9708696889853,-571.0081781151378,0
299,-259.5737820649564,-654.7889638609014,-570.7397651751769,0
300,-259.4184469363406,-654.587431950921,-571.7317495254897,0
301,-259.93184142981283,-654.0574411805943,-570.5215561801298,0
302,-259.346250033223,-653.7608948138042,-571.3900126087809,0
303,-260.05226920480425,-654.2917008186239,-570.6399518678774,0
304,-260.47469352608874,-653.9947427925985,-571.1150564214412,0
305,-259.07490155708143,-654.2440496565845,-571.7989508126323,0
306,-259.4736592655296,-654.3125534764433,-571.5073683508426,0
307,-259.7174832505125,-654.5858812774453,-571.0382880290582,0
308,-259.09918386858027,-653.6878380318449,-571.2415412773826,0
309,-259.66174410932666,-654.1288528530515,-571.3642196875247,0
310,-259.8753356046627,-654.0196708283152,-571.890849553568,0
311,-258.90336779699265,-654.4851187482092,-571.4428999659045,0
312,-258.78105439994965,-654.6987199326944,-570.9726919945244,0
313,-258.9153078522508,-654.607431706635,-571.2371431171923,0
314,-259.02299286461346,-654.5391321869674,-571.2662387164349,0
315,-259.3921156865781,-654.6052741363538,-570.7008351049933,0
316,-259.44913721222986,-654.27402976881,-571.3413511372189,0
317,-259.233510389205,-654.9743769998072,-571.8060281829884,0
318,-258.45326646826027,-654.1174097103445,-571.0213176110925,0
319,-259.4694624848812,-654.5836672847817,-571.6277822162283,0
320,-258.76087911022483,-654.3818284511058,-571.0430326970928,0
321,-259.6320348231317,-655.1964846114822,-571.2538268828288,0
322,-258.88853715301394,-653.9134582064295,-571.171223512743,0
323,-259.5281809382,-654.4305812465504,-570.8060615536413,0
324,-258.79655783181147,-655.0345405039049,-571.0127267309241,0
325,-258.99811908763445,-654.4410354025497,-571.096737622345,0
326,-259.16701123840386,-654.4323970813223,-571.4505432897481,0
327,-259.5385927917527,-654.8614367502353,-571.5356550989815,0
328,-260.01033649097866,-654.6859877347857,-570.7687988025077,0
329,-259.56645519273343,-653.4750271908267,-571.0718469637408,0
330,-259.80335559906723,-654.3774630086133,-571.7939914622247,0
331,-259.26317598110705,-653.7661887015386,-571.0570493485145,0
332,-259.59902412142077,-654.0136177285322,-571.4959194835171,0
333,-259.46069938564784,-654.4220046468297,-570.8353654623919,0
334,-259.2927227056042,-653.7319088836397,-571.6073301062502,0
335,-259.29305874773996,-654.4502376079428,-571.6736898592877,0
336,-259.66260819910656,-654.3527388549259,-572.0217047691832,0
337,-1275.7575269571428,-1071.1571211114313,-673.6120579916711,1
338,-259.7368872240788,-654.285902594288,-571.5347937772061,0
339,-1275.8641059504828,-1070.6441430203072,-674.0660532981271,1
340,-259.2371219037216,-653.9996384289198,-570.8673345084804,0
341,-259.26252613488117,-653.6206355641483,-570.8165537895046,0
342,-1274.507564203493,-1072.8358620864828,-677.6665254530228,1
343,-259.79075744274974,-654.3920666997901,-571.3753334846153,0
344,-259.11137675987646,-654.4708610491986,-571.1240654767333,0
345,-259.37430763248057,-654.0951943892202,-571.0606102385705,0
346,-259.4769760864206,-654.119992414013,-571.7327367654964,0
347,-478.8747865486231,273.80596427488376,466.5092950560343,1
348,-259.27055192838355,-654.6521814989616,-571.2174469256792,0
349,-259.2367976851195,-653.7420474127123,-571.0325976742309,0
350,-259.15599314126456,-654.3222782996726,-571.3117711515501,0
351,-259.245954278884,-654.8097193677004,-571.2602414320507,0
352,-259.6841594265331,-654.3469211095484,-570.8053397994557,0
353,-259.59223325601977,-654.221981794213,-571.1559195133606,0
354,-259.7304212803539,-653.7802426876342,-571.5188268286546,0
355,-259.1269204746914,-654.6321435810934,-571.6498024971144,0
356,-260.0061460506475,-654.3674415170071,-571.9168975320251,0
357,-259.52940572283694,-654.5160201291251,-571.0727623923806,0
358,-259.0314383045567,-654.7577976773786,-571.7001279126994,0
359,-259.83416694875524,-654.5727397047178,-571.4007287920062,0
360,-258.9669878826024,-653.9944649793972,-571.2476948601679,0
361,-259.3866528677161,-654.6676164623167,-571.3070393565989,0
362,-259.2887046938041,-653.6188587782797,-571.621207529914,0
363,-259.70909686389103,-654.8442652653648,-571.5654738826782,0
364,-259.3463177754857,-654.0227006436755,-571.661227119068,0
365,-258.8813012926698,-654.6536388368414,-571.4863053660653,0
366,-259.36524467941393,-655.2758490852336,-570.4729405757049,0
367,-259.5001832092115,-654.4835065282215,-571.4809186917896,0
368,-260.003201093479,-654.295052640597,-571.0643894457211,0
369,-258.4595727704983,-653.8737224918215,-570.7889035310774,0
370,-259.4219588355232,-654.9008980884929,-570.9354106135183,0
371,-478.87237783975615,273.6348040432527,467.0430307522934,1
372,-259.6571138481825,-653.8112664742124,-571.5632530070175,0
373,-477.8971147177681,274.5848829854053,466.9889963154917,1
374,-259.72798148782954,-654.2823177514997,-571.9898171814558,0
375,-259.40683656760115,-654.1947061309972,-571.3226894631674,0
376,-259.2857303561501,-654.2785038499696,-571.6488822590444,0
377,-259.2694439364419,-654.5193510336675,-571.5539280610335,0
378,-259.68934200438133,-654.8974690584826,-570.5994133006678,0
379,-259.0079337308244,-654.8275306732556,-570.9961670065936,0
380,-259.35322666866887,-654.5941797064773,-571.3171982597484,0
381,-259.2513975177931,-654.9019810994341,-571.0397245478347,0
382,-258.47676343246593,-654.5324882302663,-571.8811478081193,0
383,-259.74170601691515,-653.9891434788572,-570.9749051781095,0
384,-259.2111213082226,-654.7693535898067,-570.9438427972997,0
385,-259.3884113168593,-654.6081436914964,-571.7627935066265,0
386,-259.1109816530395,-654.7325721628996,-571.0603161745145,0
387,-259.2595338949838,-654.0535888149824,-571.4082286973786,0
388,-259.7234733133462,-654.5040150601559,-571.6867084112998,0
389,-258.8096648473634,-653.6826549016305,-571.1223477211911,0
390,-259.565620661406,-654.4767791332764,-571.5602616781722,0
391,-259.9070721364589,-654.3942887879159,-571.5224345005626,0
392,-259.682097028223,-653.8821511803503,-570.3039057887921,0
393,-1275.0142785305252,-1072.7737185370474,-673.7084699775307,1
394,-258.98819102862075,-654.3995454025422,-571.979956240278,0
395,-259.64118866877885,-653.9993710169506,-571.6052527853428,0
396,-259.4647709203678,-654.1703452592316,-571.2794886328302,0
397,-259.33957329208454,-655.177309788186,-571.1348458159164,0
398,-259.090712766573,-654.7996878766415,-570.9563444430247,0
399,-258.2838890938125,-654.2563734187269,-571.0821723410405,0
400,-258.93240949489194,-653.6655261880376,-571.3188572920704,0
401,-259.2631438590704,-653.6016974522181,-571.5640508116181,0
402,-258.8358247981101,-654.3298074132537,-571.69596783582,0
403,-259.3887890767232,-654.8238766519873,-571.6584460199822,0
404,-260.0951599797573,-655.1238517906517,-571.1225785229375,0
405,-259.489616693587,-654.2855318881532,-571.0173303413084,0
406,-259.8770932972385,-654.49624776928,-571.9206641528251,0
407,-259.58431050742945,-655.0636932254477,-571.3140003001689,0
408,-258.98467288129194,-654.0970832845111,-571.0690781635406,0
409,-259.7306923526658,-653.5720083081585,-571.7125375292915,0
410,-260.1915649541106,-654.5268144310736,-572.0323725348126,0
411,-259.5505826554361,-654.6840661914475,-571.9180447045455,0
412,-259.93627754345135,-654.4900120252324,-571.478866307869,0
413,-259.2905106238566,-654.6039508974354,-570.7918329066997,0
414,-259.63976249083555,-655.2438303467118,-571.7344712407321,0
415,-258.42156170937494,-655.4344806395868,-571.2239696736108,0
416,-258.78500506725567,-653.9954502193519,-571.8481279773796,0
417,-259.20451399972274,-654.9389892957768,-571.047742754506,0
418,-259.59823826658317,-654.9034920751719,-571.2836954169527,0
419,-259.1424564664159,-654.2262708597982,-571.5852284110475,0
420,-258.8232232803406,-654.3418587504203,-571.188085510379,0
421,-259.688804259682,-654.6220235922437,-571.129978755694,0
422,-259.04252513373694,-654.9087765391755,-570.40106200782,0
423,-259.0760563588297,-654.1320386147679,-571.6731654692506,0
424,-259.41499920120594,-654.300852284798,-572.147063545568,0
425,-258.8685138696917,-654.6636775114251,-571.8074955575312,0
426,-259.37999676293134,-654.2574733752019,-571.2079805376483,0
427,-259.3471786409262,-654.025761231933,-571.0073830867022,0
428,-259.930607270385,-653.8941216378257,-571.3541281632444,0
429,-258.6309863414466,-654.5810532661093,-572.0450345432309,0
430,-259.1985033185328,-654.6858656456047,-570.9432740021066,0
431,-259.6819919326085,-655.0166058294443,-571.3403896520878,0
432,-1277.3591170075742,-1070.9539461526624,-676.2519402200704,1
433,-1275.4450991029903,-1070.4632704638088,-675.679676368226,1
434,-259.2501172267607,-654.1933502402558,-571.369611253188,0
435,-258.5511586728445,-654.7666695868928,-571.1379313565529,0
436,-259.40196135970456,-653.8363656428559,-571.3099913087675,0
437,-258.99879319720196,-654.1424780674154,-570.825784081227,0
438,-259.2968432330398,-654.4997810745524,-571.7296090143791,0
439,-258.7422603179117,-654.2752296227223,-571.0803384267857,0
440,-259.3414544720559,-654.7499793408754,-571.1757998422325,0
441,-259.70817907514095,-654.0040255042253,-571.8236821976426,0
442,-258.9602353731928,-654.2969248158925,-571.6924826839463,0
443,-1275.2720768710394,-1072.035804785347,-672.3851882250369,1
444,-259.3069650322893,-654.3512601974475,-570.925386536039,0
445,-259.247660270105,-654.2744078138724,-570.5933357893078,0
446,-258.6335195273421,-654.3353842892697,-571.3429221221535,0
447,-1275.187400189738,-1072.662286266169,-678.1256666473721,1
448,-259.56864281234346,-653.5487754244258,-571.4323983629774,0
449,-259.4072566283983,-654.1182261010367,-570.698218119057,0
450,-259.5204068498938,-654.4298953983292,-570.8277617450066,0
451,-259.787316216929,-653.9995064660549,-571.3404193233499,0
452,-259.4352063697935,-654.5278400284271,-571.071863637092,0
453,-259.2780846417987,-654.31107241341,-571.0074520218861,0
