Id,Prima etichetta,Pr Prima etichetta,Luogo,Orario,Verita Seconda etichetta,Tipo situazione,Seconda etichetta,Pr Seconda etichetta,Incertezza Sistema
67,VCS,93,A,1647349956,Non sospetto,Situazione Normale,Non sospetto,50,0.53
68,VS,50,C,1647349957,Non sospetto,Situazione Normale,Non sospetto,81,0.59
69,VCS,83,E,1647349958,Non sospetto,Situazione Normale,Non sospetto,50,0.58
70,VCS,85,E,1647349961,Non sospetto,Situazione Normale,Non sospetto,50,0.57
71,VS,56,E,1647349965,Non sospetto,Situazione Normale,Non sospetto,81,0.55
72,VS,89,D,1647349967,Non sospetto,Situazione Normale,Non sospetto,81,0.28
73,VS,81,A,1647349968,Non sospetto,Situazione Normale,Non sospetto,81,0.34
74,VS,74,A,1647349972,Non sospetto,Situazione Normale,Non sospetto,81,0.4
75,VS,93,A,1647349975,Non sospetto,Situazione Normale,Non sospetto,79,0.27
76,VS,73,A,1647349977,Non sospetto,Situazione Normale,Non sospetto,79,0.42
77,VS,80,A,1647349978,Non sospetto,Situazione Normale,Non sospetto,79,0.37
78,VS,73,C,1647349982,Non sospetto,Situazione Normale,Non sospetto,79,0.42
79,VS,62,A,1647349984,Non sospetto,Situazione Normale,Non sospetto,79,0.51
80,VS,82,A,1647349986,Non sospetto,Situazione Normale,Non sospetto,79,0.35
81,VS,79,C,1647349988,Non sospetto,Situazione Normale,Non sospetto,79,0.38
82,VCI,85,B,1647349989,Sospetto,Situazione Normale,Sospetto,50,0.57
83,VS,81,C,1647349990,Non sospetto,Situazione Normale,Non sospetto,79,0.36
84,VS,93,B,1647349991,Non sospetto,Situazione Normale,Non sospetto,79,0.27
85,VCS,52,B,1647349995,Non sospetto,Situazione Normale,Non sospetto,51,0.73
86,VCS,93,E,1647349998,Non sospetto,Situazione Normale,Non sospetto,51,0.53
87,VS,63,E,1647349999,Non sospetto,Situazione Normale,Non sospetto,81,0.49
88,VS,61,C,1647350001,Non sospetto,Situazione Normale,Non sospetto,81,0.51
89,VS,71,C,1647350002,Non sospetto,Situazione Normale,Non sospetto,81,0.42
90,VS,94,D,1647350005,Non sospetto,Situazione Normale,Non sospetto,81,0.24
91,VCS,79,D,1647350007,Non sospetto,Situazione Normale,Non sospetto,51,0.6
92,VS,59,C,1647350008,Non sospetto,Situazione Normale,Non sospetto,81,0.52
93,VCS,50,D,1647350012,Non sospetto,Situazione Normale,Non sospetto,51,0.74
94,VS,62,D,1647350014,Non sospetto,Situazione Normale,Non sospetto,81,0.5
95,VS,69,C,1647350016,Non sospetto,Situazione Normale,Non sospetto,81,0.44
96,VS,59,B,1647350017,Non sospetto,Situazione Normale,Non sospetto,81,0.52
97,VCI,87,D,1647350020,Sospetto,Situazione Normale,Sospetto,50,0.56
98,VS,66,A,1647350022,Non sospetto,Situazione Normale,Non sospetto,81,0.47
99,VCS,79,A,1647350024,Non sospetto,Situazione Normale,Non sospetto,52,0.59
100,VS,50,D,1647350025,Non sospetto,Situazione Normale,Non sospetto,81,0.59
101,VS,58,C,1647350027,Non sospetto,Situazione Normale,Non sospetto,81,0.53
102,VS,51,C,1647350031,Non sospetto,Situazione Normale,Non sospetto,81,0.59
103,VS,88,E,1647350035,Non sospetto,Situazione Normale,Non sospetto,81,0.29
104,VS,68,C,1647350036,Non sospetto,Situazione Normale,Non sospetto,81,0.45
105,VS,82,A,1647350038,Non sospetto,Situazione Normale,Non sospetto,81,0.34
106,VS,60,E,1647350040,Non sospetto,Situazione Normale,Non sospetto,80,0.52
107,VS,82,B,1647350043,Non sospetto,Situazione Normale,Non sospetto,80,0.34
108,VCI,55,A,1647350044,Sospetto,Situazione Normale,Sospetto,50,0.72
109,VS,53,D,1647350045,Non sospetto,Situazione Normale,Non sospetto,80,0.58
110,VS,87,E,1647350047,Non sospetto,Situazione Normale,Non sospetto,80,0.3
111,VCS,94,C,1647350048,Non sospetto,Situazione Normale,Non sospetto,51,0.52
112,VS,68,E,1647350049,Non sospetto,Situazione Normale,Non sospetto,80,0.46
113,VS,88,C,1647350053,Non sospetto,Situazione Normale,Non sospetto,80,0.3
114,VS,75,E,1647350056,Non sospetto,Situazione Normale,Non sospetto,80,0.4
115,VS,65,B,1647350058,Non sospetto,Situazione Normale,Non sospetto,80,0.48
116,VS,95,D,1647350062,Non sospetto,Situazione Normale,Non sospetto,80,0.24
117,VS,53,E,1647350066,Non sospetto,Situazione Normale,Non sospetto,81,0.57
118,VCS,82,D,1647350068,Non sospetto,Situazione Normale,Non sospetto,62,0.49
119,VS,80,D,1647350069,Non sospetto,Situazione Normale,Non sospetto,81,0.35
120,VS,90,A,1647350073,Non sospetto,Situazione Normale,Non sospetto,81,0.27
121,VS,97,E,1647350076,Non sospetto,Situazione Normale,Non sospetto,81,0.21
122,VCI,84,A,1647350080,Sospetto,Situazione Normale,Sospetto,50,0.58
123,VS,69,D,1647350081,Non sospetto,Situazione Normale,Non sospetto,81,0.44
124,VS,89,E,1647350084,Non sospetto,Situazione Normale,Non sospetto,81,0.28
125,VS,63,B,1647350088,Non sospetto,Situazione Normale,Non sospetto,83,0.48
126,VS,53,C,1647350091,Non sospetto,Situazione Normale,Non sospetto,83,0.56
127,VCS,91,B,1647350092,Non sospetto,Situazione Normale,Non sospetto,61,0.44
128,VCI,94,C,1647350096,Sospetto,Situazione Normale,Sospetto,50,0.53
129,VS,92,D,1647350098,Non sospetto,Situazione Normale,Non sospetto,83,0.24
130,VS,76,C,1647350102,Non sospetto,Situazione Normale,Non sospetto,83,0.37
131,VCS,58,B,1647350105,Non sospetto,Situazione Normale,Non sospetto,61,0.65
132,VCS,60,D,1647350109,Non sospetto,Situazione Normale,Non sospetto,71,0.57
133,VS,92,D,1647350112,Non sospetto,Situazione Normale,Non sospetto,82,0.25
134,VS,89,E,1647350114,Non sospetto,Situazione Normale,Non sospetto,82,0.27
135,VCI,84,D,1647350115,Sospetto,Situazione Normale,Non sospetto,59,0.5
136,VS,86,C,1647350119,Non sospetto,Situazione Normale,Non sospetto,82,0.29
137,VCS,59,A,1647350120,Non sospetto,Situazione Normale,Non sospetto,71,0.58
138,VCI,83,E,1647350124,Sospetto,Situazione Normale,Non sospetto,59,0.51
139,VS,90,C,1647350125,Non sospetto,Situazione Normale,Non sospetto,82,0.26
140,VS,95,C,1647350128,Non sospetto,Situazione Normale,Non sospetto,82,0.22
141,VCI,92,C,1647350131,Sospetto,Situazione Normale,Non sospetto,60,0.45
142,VS,51,B,1647350133,Non sospetto,Situazione Normale,Non sospetto,81,0.59
143,VS,52,A,1647350134,Non sospetto,Situazione Normale,Non sospetto,81,0.58
144,VS,52,B,1647350138,Non sospetto,Situazione Normale,Non sospetto,81,0.58
145,VS,93,E,1647350140,Non sospetto,Situazione Normale,Non sospetto,81,0.25
146,VS,94,C,1647350142,Non sospetto,Situazione Normale,Non sospetto,81,0.24
147,VS,81,D,1647350146,Non sospetto,Situazione Normale,Non sospetto,81,0.34
148,VCI,66,B,1647350149,Sospetto,Situazione Normale,Non sospetto,60,0.6
149,VS,56,D,1647350150,Non sospetto,Situazione Normale,Non sospetto,81,0.55
150,VS,82,B,1647350153,Non sospetto,Situazione Normale,Non sospetto,81,0.34
151,VCS,58,E,1647350154,Non sospetto,Situazione Normale,Non sospetto,59,0.66
152,VCS,52,E,1647350158,Non sospetto,Situazione Normale,Non sospetto,59,0.69
153,VS,66,C,1647350160,Non sospetto,Situazione Normale,Non sospetto,81,0.47
154,VCI,95,C,1647350163,Sospetto,Situazione Normale,Non sospetto,61,0.42
155,VS,59,C,1647350164,Non sospetto,Situazione Normale,Non sospetto,81,0.52
156,VS,87,C,1647350165,Non sospetto,Situazione Normale,Non sospetto,81,0.3
157,VCS,86,E,1647350169,Non sospetto,Situazione Normale,Non sospetto,59,0.49
158,VS,94,C,1647350171,Non sospetto,Situazione Normale,Non sospetto,81,0.24
159,VCI,57,E,1647350175,Sospetto,Situazione Normale,Non sospetto,61,0.65
160,VS,75,D,1647350177,Non sospetto,Situazione Normale,Non sospetto,83,0.38
161,VS,96,E,1647350178,Non sospetto,Situazione Normale,Non sospetto,83,0.2
162,VS,64,D,1647350180,Non sospetto,Situazione Normale,Non sospetto,83,0.47
163,VS,63,A,1647350183,Non sospetto,Situazione Normale,Non sospetto,83,0.48
164,VS,87,E,1647350187,Non sospetto,Situazione Normale,Non sospetto,83,0.28
165,VS,57,E,1647350189,Non sospetto,Situazione Normale,Non sospetto,83,0.53
166,VS,98,E,1647350193,Non sospetto,Situazione Normale,Non sospetto,83,0.19
167,VS,70,A,1647350196,Non sospetto,Situazione Normale,Non sospetto,83,0.42
168,VS,58,B,1647350198,Non sospetto,Situazione Normale,Non sospetto,83,0.52
169,VCI,84,D,1647350202,Sospetto,Situazione Normale,Non sospetto,61,0.49
170,VS,58,A,1647350203,Non sospetto,Situazione Normale,Non sospetto,83,0.52
171,VS,97,B,1647350207,Non sospetto,Situazione Normale,Non sospetto,83,0.19
172,VS,85,D,1647350209,Non sospetto,Situazione Normale,Non sospetto,83,0.29
173,VS,57,A,1647350211,Non sospetto,Situazione Normale,Non sospetto,83,0.53
174,VS,64,D,1647350215,Non sospetto,Situazione Normale,Non sospetto,83,0.47
175,VS,76,A,1647350219,Non sospetto,Situazione Normale,Non sospetto,81,0.38
176,VS,97,B,1647350220,Non sospetto,Situazione Normale,Non sospetto,81,0.21
177,VS,75,B,1647350222,Non sospetto,Situazione Normale,Non sospetto,81,0.39
178,VS,95,B,1647350226,Non sospetto,Situazione Normale,Non sospetto,81,0.23
179,VCI,56,D,1647350227,Sospetto,Situazione Normale,Non sospetto,61,0.66
180,VS,62,A,1647350230,Non sospetto,Situazione Normale,Non sospetto,81,0.5
181,VTC,65,A,1647350231,Sospetto,Situazione Normale,Sospetto,100,0.35
182,VCI,68,E,1647350233,Sospetto,Situazione Normale,Non sospetto,61,0.59
183,VS,56,E,1647350237,Non sospetto,Situazione Normale,Non sospetto,81,0.55
184,VCS,88,A,1647350240,Non sospetto,Situazione Normale,Non sospetto,50,0.56
185,VS,91,D,1647350244,Non sospetto,Situazione Normale,Non sospetto,81,0.26
186,VS,55,C,1647350245,Non sospetto,Situazione Normale,Non sospetto,81,0.55
187,VS,62,D,1647350249,Non sospetto,Situazione Normale,Non sospetto,81,0.5
188,VS,57,E,1647350252,Non sospetto,Situazione Normale,Non sospetto,81,0.54
189,VS,52,C,1647350254,Non sospetto,Situazione Normale,Non sospetto,81,0.58
190,VS,91,A,1647350257,Non sospetto,Situazione Normale,Non sospetto,81,0.26
191,VS,77,A,1647350261,Non sospetto,Situazione Normale,Non sospetto,81,0.38
192,VCI,84,C,1647350262,Sospetto,Situazione Normale,Non sospetto,51,0.57
193,VS,68,A,1647350263,Non sospetto,Situazione Normale,Non sospetto,79,0.46
194,VCI,88,A,1647350264,Sospetto,Situazione Normale,Non sospetto,51,0.55
195,VS,59,A,1647350268,Non sospetto,Situazione Normale,Non sospetto,79,0.53
196,VS,94,C,1647350269,Non sospetto,Situazione Normale,Non sospetto,79,0.26
197,VCI,86,A,1647350272,Sospetto,Situazione Normale,Non sospetto,51,0.56
198,VS,90,A,1647350273,Non sospetto,Situazione Normale,Non sospetto,79,0.29
199,VS,92,D,1647350276,Non sospetto,Situazione Normale,Non sospetto,79,0.27
200,VS,84,B,1647350279,Non sospetto,Situazione Normale,Non sospetto,79,0.34
201,VS,74,D,1647350282,Sospetto,Obbligo mascherina,Non sospetto,79,0.42
202,VCI,75,B,1647350285,Non sospetto,Obbligo mascherina,Non sospetto,61,0.54
203,VCI,65,E,1647350287,Non sospetto,Obbligo mascherina,Non sospetto,61,0.6
204,VCI,95,A,1647350289,Non sospetto,Obbligo mascherina,Non sospetto,61,0.42
205,VCI,53,C,1647350292,Non sospetto,Obbligo mascherina,Non sospetto,61,0.68
206,VS,82,C,1647350295,Sospetto,Obbligo mascherina,Non sospetto,81,0.34
207,VCI,78,A,1647350297,Non sospetto,Obbligo mascherina,Non sospetto,61,0.52
208,VS,71,E,1647350299,Sospetto,Obbligo mascherina,Non sospetto,81,0.42
209,VCI,98,D,1647350302,Non sospetto,Obbligo mascherina,Non sospetto,61,0.4
210,VCS,74,B,1647350304,Sospetto,Obbligo mascherina,Non sospetto,50,0.63
211,VCI,57,A,1647350307,Non sospetto,Obbligo mascherina,Non sospetto,73,0.58
212,VCI,72,E,1647350311,Non sospetto,Obbligo mascherina,Non sospetto,73,0.47
213,VCI,98,E,1647350315,Non sospetto,Obbligo mascherina,Non sospetto,73,0.28
214,VCI,74,A,1647350319,Non sospetto,Obbligo mascherina,Non sospetto,73,0.46
215,VCI,86,A,1647350323,Non sospetto,Obbligo mascherina,Non sospetto,73,0.37
216,VCI,69,D,1647350326,Non sospetto,Obbligo mascherina,Non sospetto,73,0.5
217,VCI,56,B,1647350327,Non sospetto,Obbligo mascherina,Non sospetto,75,0.58
218,VS,78,D,1647350329,Sospetto,Obbligo mascherina,Non sospetto,79,0.38
219,VCI,58,C,1647350331,Non sospetto,Obbligo mascherina,Non sospetto,75,0.57
220,VCI,77,C,1647350334,Non sospetto,Obbligo mascherina,Non sospetto,75,0.42
221,VCI,89,D,1647350337,Non sospetto,Obbligo mascherina,Non sospetto,75,0.33
222,VCI,73,A,1647350339,Non sospetto,Obbligo mascherina,Non sospetto,75,0.45
223,VCI,79,E,1647350341,Non sospetto,Obbligo mascherina,Non sospetto,75,0.41
224,VCI,69,C,1647350342,Non sospetto,Obbligo mascherina,Non sospetto,75,0.48
225,VCI,62,A,1647350344,Non sospetto,Obbligo mascherina,Non sospetto,75,0.54
226,VCI,84,C,1647350347,Non sospetto,Obbligo mascherina,Non sospetto,75,0.37
227,VCI,89,C,1647350351,Non sospetto,Obbligo mascherina,Non sospetto,79,0.3
228,VTC,51,D,1647350353,Sospetto,Obbligo mascherina,Sospetto,50,0.74
229,VCI,95,E,1647350354,Non sospetto,Obbligo mascherina,Non sospetto,79,0.25
230,VCI,77,C,1647350355,Non sospetto,Obbligo mascherina,Non sospetto,79,0.39
231,VCI,55,B,1647350356,Non sospetto,Obbligo mascherina,Non sospetto,79,0.57
232,VCI,77,B,1647350359,Non sospetto,Obbligo mascherina,Non sospetto,79,0.39
233,VCI,51,A,1647350361,Non sospetto,Obbligo mascherina,Non sospetto,79,0.6
234,VCS,68,D,1647350364,Sospetto,Obbligo mascherina,Non sospetto,50,0.66
235,VCI,66,B,1647350365,Non sospetto,Obbligo mascherina,Non sospetto,79,0.48
236,VCI,89,A,1647350366,Non sospetto,Obbligo mascherina,Non sospetto,79,0.3
237,VCI,94,B,1647350369,Non sospetto,Obbligo mascherina,Non sospetto,79,0.26
238,VCI,64,A,1647350371,Non sospetto,Obbligo mascherina,Non sospetto,82,0.48
239,VCI,52,B,1647350375,Non sospetto,Obbligo mascherina,Non sospetto,82,0.57
240,VCI,76,C,1647350379,Non sospetto,Obbligo mascherina,Non sospetto,82,0.38
241,VCI,58,D,1647350381,Non sospetto,Obbligo mascherina,Non sospetto,82,0.52
242,VCI,63,A,1647350382,Non sospetto,Obbligo mascherina,Non sospetto,82,0.48
243,VCI,75,A,1647350385,Non sospetto,Obbligo mascherina,Non sospetto,82,0.39
244,VCI,70,D,1647350386,Non sospetto,Obbligo mascherina,Non sospetto,82,0.43
245,VCI,84,D,1647350388,Non sospetto,Obbligo mascherina,Non sospetto,82,0.31
246,VCI,57,C,1647350391,Non sospetto,Obbligo mascherina,Non sospetto,82,0.53
247,VCI,96,C,1647350392,Non sospetto,Obbligo mascherina,Non sospetto,84,0.19
248,VCI,66,C,1647350394,Non sospetto,Obbligo mascherina,Non sospetto,84,0.45
249,VCI,53,E,1647350397,Non sospetto,Obbligo mascherina,Non sospetto,84,0.55
250,VCI,78,E,1647350401,Non sospetto,Obbligo mascherina,Non sospetto,84,0.34
251,VCI,86,B,1647350402,Non sospetto,Obbligo mascherina,Non sospetto,84,0.28
252,VS,64,A,1647350404,Sospetto,Obbligo mascherina,Non sospetto,73,0.53
253,VCI,72,A,1647350406,Non sospetto,Obbligo mascherina,Non sospetto,84,0.4
254,VS,50,A,1647350408,Sospetto,Obbligo mascherina,Non sospetto,73,0.64
255,VCI,93,A,1647350409,Non sospetto,Obbligo mascherina,Non sospetto,84,0.22
256,VCI,51,A,1647350410,Non sospetto,Obbligo mascherina,Non sospetto,84,0.57
257,VCS,79,C,1647350411,Sospetto,Obbligo mascherina,Non sospetto,50,0.6
258,VCI,60,B,1647350412,Non sospetto,Obbligo mascherina,Non sospetto,84,0.5
259,VCI,77,C,1647350415,Non sospetto,Obbligo mascherina,Non sospetto,86,0.34
260,VCI,96,E,1647350417,Non sospetto,Obbligo mascherina,Non sospetto,86,0.17
261,VCI,65,B,1647350419,Non sospetto,Obbligo mascherina,Non sospetto,86,0.44
262,VCI,89,B,1647350421,Non sospetto,Obbligo mascherina,Non sospetto,86,0.23
263,VCI,56,B,1647350425,Non sospetto,Obbligo mascherina,Non sospetto,86,0.52
264,VS,60,D,1647350427,Sospetto,Obbligo mascherina,Non sospetto,50,0.7
265,VCI,72,A,1647350431,Non sospetto,Obbligo mascherina,Non sospetto,86,0.38
266,VCI,77,D,1647350435,Non sospetto,Obbligo mascherina,Non sospetto,86,0.34
267,VCS,61,C,1647350439,Sospetto,Obbligo mascherina,Non sospetto,50,0.7
268,VCI,94,D,1647350440,Non sospetto,Obbligo mascherina,Non sospetto,86,0.19
269,VCI,80,C,1647350443,Non sospetto,Obbligo mascherina,Non sospetto,86,0.31
270,VCI,71,D,1647350446,Non sospetto,Obbligo mascherina,Non sospetto,86,0.39
271,VCI,58,B,1647350450,Non sospetto,Obbligo mascherina,Non sospetto,86,0.5
272,VS,85,E,1647350451,Sospetto,Obbligo mascherina,Non sospetto,50,0.57
273,VCI,87,B,1647350452,Non sospetto,Obbligo mascherina,Non sospetto,86,0.25
274,VCI,79,B,1647350454,Non sospetto,Obbligo mascherina,Non sospetto,86,0.32
275,VCI,88,E,1647350456,Non sospetto,Obbligo mascherina,Non sospetto,86,0.24
276,VCI,50,A,1647350460,Non sospetto,Obbligo mascherina,Non sospetto,87,0.56
277,VTC,76,B,1647350462,Sospetto,Obbligo mascherina,Sospetto,100,0.24
278,VCI,63,B,1647350463,Non sospetto,Obbligo mascherina,Non sospetto,87,0.45
279,VCI,58,C,1647350466,Non sospetto,Obbligo mascherina,Non sospetto,87,0.5
280,VCS,97,A,1647350467,Sospetto,Obbligo mascherina,Non sospetto,50,0.52
281,VCI,95,C,1647350468,Non sospetto,Obbligo mascherina,Non sospetto,87,0.17
282,VCI,92,A,1647350470,Non sospetto,Obbligo mascherina,Non sospetto,87,0.2
283,VCI,80,A,1647350472,Non sospetto,Obbligo mascherina,Non sospetto,87,0.3
284,VCI,81,B,1647350473,Non sospetto,Obbligo mascherina,Non sospetto,87,0.3
285,VCI,94,E,1647350477,Non sospetto,Obbligo mascherina,Non sospetto,87,0.18
286,VCI,57,C,1647350479,Non sospetto,Obbligo mascherina,Non sospetto,85,0.52
287,VCI,63,C,1647350481,Non sospetto,Obbligo mascherina,Non sospetto,85,0.46
288,VCI,80,B,1647350483,Non sospetto,Obbligo mascherina,Non sospetto,85,0.32
289,VCI,57,C,1647350487,Non sospetto,Obbligo mascherina,Non sospetto,85,0.52
290,VCI,73,A,1647350491,Non sospetto,Obbligo mascherina,Non sospetto,85,0.38
291,VCI,51,B,1647350493,Non sospetto,Obbligo mascherina,Non sospetto,85,0.57
292,VCI,65,E,1647350496,Non sospetto,Obbligo mascherina,Non sospetto,85,0.45
293,VCI,89,A,1647350499,Non sospetto,Obbligo mascherina,Non sospetto,85,0.24
294,VCI,74,D,1647350503,Non sospetto,Obbligo mascherina,Non sospetto,84,0.38
295,VCI,70,B,1647350507,Non sospetto,Obbligo mascherina,Non sospetto,84,0.41
296,VCI,80,C,1647350508,Non sospetto,Obbligo mascherina,Non sospetto,84,0.33
297,VCI,54,D,1647350510,Non sospetto,Obbligo mascherina,Non sospetto,84,0.55
298,VCI,91,E,1647350513,Non sospetto,Obbligo mascherina,Non sospetto,84,0.24
299,VCI,75,A,1647350517,Non sospetto,Obbligo mascherina,Non sospetto,84,0.37
300,VCI,86,D,1647350518,Non sospetto,Obbligo mascherina,Non sospetto,84,0.28
301,VCI,70,D,1647350520,Non sospetto,Obbligo mascherina,Non sospetto,84,0.41
302,VCI,64,B,1647350522,Non sospetto,Obbligo mascherina,Non sospetto,86,0.45
303,VCI,69,B,1647350524,Non sospetto,Obbligo mascherina,Non sospetto,86,0.41
304,VCI,80,C,1647350525,Non sospetto,Obbligo mascherina,Non sospetto,86,0.31
305,VCI,89,E,1647350529,Non sospetto,Obbligo mascherina,Non sospetto,86,0.23
306,VCI,97,B,1647350531,Non sospetto,Obbligo mascherina,Non sospetto,86,0.17
307,VCI,86,B,1647350532,Non sospetto,Obbligo mascherina,Non sospetto,86,0.26
308,VCI,55,E,1647350533,Non sospetto,Obbligo mascherina,Non sospetto,86,0.53
309,VCI,53,C,1647350534,Non sospetto,Obbligo mascherina,Non sospetto,86,0.54
310,VCI,56,B,1647350536,Non sospetto,Obbligo mascherina,Non sospetto,86,0.52
311,VCI,81,E,1647350539,Non sospetto,Obbligo mascherina,Non sospetto,86,0.3
312,VS,52,C,1647350540,Sospetto,Obbligo mascherina,Non sospetto,50,0.74
313,VCI,84,B,1647350543,Non sospetto,Obbligo mascherina,Non sospetto,86,0.28
314,VCI,73,D,1647350544,Non sospetto,Obbligo mascherina,Non sospetto,86,0.37
315,VCI,93,E,1647350545,Non sospetto,Obbligo mascherina,Non sospetto,86,0.2
316,VS,92,E,1647350548,Sospetto,Obbligo mascherina,Non sospetto,50,0.54
317,VS,57,C,1647350551,Sospetto,Obbligo mascherina,Non sospetto,50,0.72
318,VCI,70,C,1647350552,Non sospetto,Obbligo mascherina,Non sospetto,86,0.4
319,VS,84,C,1647350555,Sospetto,Obbligo mascherina,Non sospetto,50,0.58
320,VCI,67,E,1647350557,Non sospetto,Obbligo mascherina,Non sospetto,86,0.42
321,VCI,98,C,1647350558,Non sospetto,Obbligo mascherina,Non sospetto,86,0.16
